"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Mongolia","2020","US$","4007.311279513549"
"Montenegro","2020","US$","7625.72201655034"
"Montserrat","2020","US$","13523.118471035137"
"Morocco","2020","US$","3108.1753735798206"
"Mozambique","2020","US$","448.84389134931956"
"Myanmar","2020","US$","1291.7489681863267"
"Namibia","2020","US$","4215.170140519006"
"Nauru","2020","US$","12510.366255528914"
"Nepal","2020","US$","1135.2879571686306"
"Netherlands","2020","US$","53333.65757210709"
"New Caledonia","2020","US$","34006.32519721463"
"New Zealand","2020","US$","43972.13057263752"
"Nicaragua","2020","US$","1905.255197227147"
"Niger","2020","US$","567.6696968082781"
"Nigeria","2020","US$","2085.4740609886753"
"Northern Africa","2020","US$","3102.7750164001545"
"Northern America","2020","US$","61129.959904217634"
"Northern Europe","2020","US$","45889.298944824135"
"Norway","2020","US$","66870.73072574414"
"Oceania","2020","US$","39742.84965497161"
"Oman","2020","US$","12408.898139899371"
"Pakistan","2020","US$","1167.216495739256"
"Palau","2020","US$","14566.909638554216"
"Panama","2020","US$","12269.04587571009"
"Papua New Guinea","2020","US$","2639.8831747310564"
"Paraguay","2020","US$","4949.744130174471"
"Peru","2020","US$","6162.698252283082"
"Philippines","2020","US$","3298.8300621550306"
"Poland","2020","US$","15764.10582986111"
"Polynesia","2020","US$","12074.09389627724"
"Portugal","2020","US$","22413.0398391619"
"Puerto Rico","2020","US$","36051.590207536006"
"Qatar","2020","US$","50814.9344504966"
"Republic of Korea","2020","US$","31946.98251074362"
"Republic of Moldova","2020","US$","2953.5108841121933"
"Republic of North Macedonia","2020","US$","5886.461037375762"
"Romania","2020","US$","12928.580656306674"
"Russian Federation","2020","US$","10165.50596704888"
"Rwanda","2020","US$","797.7054034701089"
"Saint Kitts and Nevis","2020","US$","17433.63318580898"
"Saint Lucia","2020","US$","8804.664205558409"
"Saint Vincent and the Grenadines","2020","US$","7298.372827487664"
"Samoa","2020","US$","3889.9973617222568"
"San Marino","2020","US$","45832.19904812271"
"Sao Tome and Principe","2020","US$","2174.0479183198017"
"Saudi Arabia","2020","US$","20110.315318519642"
"Senegal","2020","US$","1457.9907269663006"
"Serbia","2020","US$","7655.695884860914"
"Seychelles","2020","US$","10766.786689046503"
"Sierra Leone","2020","US$","474.6920622190446"
"Singapore","2020","US$","58114.24534726117"
"Sint Maarten (Dutch part)","2020","US$","20000.092718980184"
"Slovakia","2020","US$","19263.637522674413"
"Slovenia","2020","US$","25777.39671924313"
"Solomon Islands","2020","US$","2250.563756866684"
"Somalia","2020","US$","117.85887088943343"
"South Africa","2020","US$","5094.384037931281"
"South America","2020","US$","6726.670259566637"
"South Sudan","2020","US$","1420.7104339345572"
"South-Eastern Asia","2020","US$","4483.98585158389"
"Southern Africa","2020","US$","4958.873715874927"
"Southern Asia","2020","US$","2232.127707105474"
"Southern Europe","2020","US$","25170.901111586798"
"Spain","2020","US$","27408.634900235935"
"Sri Lanka","2020","US$","3767.606654688218"
"State of Palestine","2020","US$","3050.3895586596186"
"Sub-Saharan Africa","2020","US$","1511.5774062716748"
"Sudan","2020","US$","1415.2434481851312"
"Suriname","2020","US$","7022.767222801033"
"Sweden","2020","US$","53574.55263721811"
"Switzerland","2020","US$","86918.64829337553"
"Syrian Arab Republic","2020","US$","889.8152469196704"
"Tajikistan","2020","US$","838.4510157622537"
"Thailand","2020","US$","7189.047988729098"
"Timor-Leste","2020","US$","1442.7274668264508"
"Togo","2020","US$","863.1447298940684"
"Tonga","2020","US$","4646.106308415562"
"Trinidad and Tobago","2020","US$","15285.97325432979"
"Tunisia","2020","US$","3318.333356319693"
"Turkey","2020","US$","8538.131925699501"
"Turkmenistan","2020","US$","7103.921926458605"
"Turks and Caicos Islands","2020","US$","23880.54343053439"
"Tuvalu","2020","US$","4648.342103924311"
"Uganda","2020","US$","846.1164807445148"
"Ukraine","2020","US$","3557.477355642111"
"United Arab Emirates","2020","US$","36284.547905631036"
"United Kingdom of Great Britain and Northern Ireland","2020","US$","40718.22181399121"
"United Republic of Tanzania: Mainland","2020","US$","1114.9962438553948"
"United Republic of Tanzania: Zanzibar","2020","US$","1031.067039596052"
"United States","2020","US$","63122.59414502393"
"Uruguay","2020","US$","15438.401394840388"
"Uzbekistan","2020","US$","1724.1877480418982"
"Vanuatu","2020","US$","2783.0296441711107"
"Venezuela (Bolivarian Republic of)","2020","US$","3740.28736114037"
"Viet Nam","2020","US$","2785.7242253139952"
"Western Africa","2020","US$","1715.2997505588146"
"Western Asia","2020","US$","10614.414184918827"
"Western Europe","2020","US$","46298.072802108654"
"World","2020","US$","10949.488086337338"
"Yemen","2020","US$","937.3827450953326"
"Zambia","2020","US$","985.1327876282385"
"Zimbabwe","2020","US$","1465.8450542437006"
